,morph
0,"['x', 'x', 'x', 'x', 'x', 'y', 'y', 'y', 'y', '종속', 'x', 'x', 'x', 'x', '기업임', 'x', 'x', 'x', 'x', 'y', '스마', '트폰', 'x', 'x', 'x', 'y', 'y', 'x', 'y', 'y', 'x', '낸드플래쉬', 'x', 'x', 'y', 'x', 'y', 'x', 'x', 'y', 'y', 'y']"
1,"['현대전자', 'x', 'x', 'x', '주주', 'x', '하', '이닉스', 'x', 'x', 'x', 'x', 'x', '낸', '드', '플래', '쉬', 'x', 'x', 'x', 'x', 'x', '재진출함', 'x', 'y', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x']"
2,"['x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '다양', 'x', '기업향', 'x', 'x', 'x', '웹', '툰', '다양', 'x', 'y', 'x', 'y', 'y', 'x', '기업임', 'x', '파', 'x', '이버', 'y', 'x', 'x', '종속', 'x', 'x']"
3,"['삼성그룹', '계열사', 'x', 'x', '제약', '회사', 'x', '바이오의약품', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'y', 'x', 'x', 'x', '바이오의약품', '연구', 'x', 'x', '삼성바이오', '에피', '스', '아키젠바이오텍', '바', '이오', '시', '밀', '러', 'y', 'x', 'x']"
4,"['x', '석유', '화학', 'x', 'x', '지', 'y', 'y', 'x', 'x', 'y', 'y', '생명', '과학', '사업부문', 'x', 'x', 'y', 'y', 'x', 'x', 'x', '지', 'y', 'y', 'x', '물적분할', 'x', '에', '너지솔루션', '종속', 'x', 'x', 'y', '양극재', 'x', 'y', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x']"
5,"['x', 'x', 'x', 'x', '카카오톡', 'x', '커머', '스', 'x', 'x', 'x', 'x', 'x', '다양', 'x', 'x', '창출', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'x', 'x', '경쟁사', 'x', 'x', 'x', 'x', '부진', 'x', 'x', '웹', '플랫폼픽코마', 'x', 'y', 'x', 'x']"
6,"['x', '삼성그룹', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'y', 'y', 'y', 'x', 'x', 'x', 'x', '전자재료', 'y', 'x', 'x', 'x', 'x', '판매함', '리튬이온사업', 'x', 'x', 'x', '안전', 'x', 'x', 'x', 'x', 'x', 'x', 'x']"
7,"['x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'y', 'x', 'x', 'x', '완성차', 'y', '업체', '현대자동차', 'x', '현대자동차', 'y', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '팰리세', '이', '드', 'x', 'x', '고급차', 'x', '강화', 'x', 'x', 'x', 'y']"
8,"['x', 'x', '현대자동', 'x', 'x', 'x', 'x', 'y', 'y', '기', '아대', '전', 'y', '아시아차', 'y', 'x', 'x', '소하', '리', '화', '성', 'x', 'x', '슬로박', 'x', 'x', 'x', 'x', 'x', 'x', '규모임', 'x', '매출액', '약내외', '내수', 'x', 'y', '북중미', 'x', 'y', 'x', 'y', 'x', 'x', 'x']"
9,"['x', '생명', '공학', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'y', '단백질의약품', 'y', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', '가', '면역', '질환', 'y', '바', '이오시밀', '램시', '마', 'x', 'x', 'x']"
10,"['x', '은행법', 'x', 'x', 'x', 'x', '당해', 'x', 'x', 'x', 'x', 'x', 'y', 'y', 'x', '유', '저', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'y', '주도', 'x', 'x', '비상금', 'x', '마이너스통장', 'y', 'x', 'y', 'x', 'x', 'y', '전월', '세보', '증금', '여신', '상품군', 'x']"
11,"['x', 'x', 'x', 'x', '철강재', 'x', '사업장', 'x', 'x', 'x', 'y', '포항제철', '소', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', '수요', 'y', '기초원자재', 'x', 'y', 'x', '경제', 'x', 'x', 'x', 'x', 'x', '기간', '산업임', 'x', 'y', 'x', 'x', 'y', 'y', 'x', 'y']"
12,"['x', 'x', '한국거', '래', '소', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '생명', '과학', 'x', '다양', 'x', '학', 'x', 'x', 'x', 'x', 'x', 'x', 'x', 'y', 'x', '용부품', 'y', 'y', 'x', 'x', 'x', 'x', 'x', 'x', 'x', '관리함']"
