,morph,,,,,,"바이오, 낸드플래쉬, "
0,"['종속', '기업임', '스마', '트폰', '낸드플래쉬']",,,,,,
1,"['현대전자', '주주', '하', '이닉스', '낸', '드', '플래', '쉬', '재진출함']",,,,,,
2,"['다양', '기업향', '웹', '툰', '다양', '기업임', '파', '이버', '종속']",,,,,,
3,"['삼성그룹', '계열사', '제약', '회사', '바이오의약품', '바이오의약품', '연구', '삼성바이오', '에피', '스', '아키젠바이오텍', '바', '이오', '시', '밀', '러']",,,,,,
4,"['석유', '화학', '지', '생명', '과학', '사업부문', '지', '물적분할', '에', '너지솔루션', '종속', '양극재']",,,,,,
5,"['카카오톡', '커머', '스', '다양', '창출', '경쟁사', '부진', '웹', '플랫폼픽코마']",,,,,,
6,"['삼성그룹', '전자재료', '판매함', '리튬이온사업', '안전']",,,,,,
7,"['완성차', '업체', '현대자동차', '현대자동차', '팰리세', '이', '드', '고급차', '강화']",,,,,,
8,"['현대자동', '기', '아대', '전', '아시아차', '소하', '리', '화', '성', '슬로박', '규모임', '매출액', '약내외', '내수', '북중미']",,,,,,
9,"['생명', '공학', '단백질의약품', '가', '면역', '질환', '바', '이오시밀', '램시', '마']",,,,,,
10,"['은행법', '당해', '유', '저', '주도', '비상금', '마이너스통장', '전월', '세보', '증금', '여신', '상품군']",,,,,,
11,"['철강재', '사업장', '포항제철', '소', '수요', '기초원자재', '경제', '기간', '산업임']",,,,,,
12,"['한국거', '래', '소', '생명', '과학', '다양', '학', '용부품', '관리함']",,,,,,
13,"['그', '룹', '지주', '회사', '생명', '저축', '다양', '대출금', '종속', '푸르덴셜생', '명', '수가격', '지분', '일', '구조임']",,,,,,
14,"['콘솔게임', '라이징', '블', '루홀스튜디오', '드림모션', '레', '드사하', '스튜디', '오', '비', '트윈어스']",,,,,,
15,"['윤', '활유', '신설', '법인', '인적분할', '윤', '활유사업부문', '물적분할', '동일자', '기준일', '넥스플렉스']",,,,,,
16,"['삼성물산', '제일', '모직', '식자재', '바이오산업', '성장', '식자재']",,,,,,
17,"['이동', '무선데이터', '정보', '고속인터넷', '약초', '고속', '연', '종속', '텔링크', '지주']",,,,,,
18,"['생활', '용품', '궁중', '천연발효', '오', '허', '브', '빌리프', '종속']",,,,,,
