,name,code,x,x2,morph,morph_sum
0,삼성전자,005930,"한국 및 CE, IM부문 해외 9개 지역총괄과 DS부문 해외 5개 지역총괄, Harman 등 237개의 종속기업으로 구성된 글로벌 전자기업임. 세트사업에는 TV, 냉장고 등을 생산하는 CE부문과 스마트폰, 네트워크시스템, 컴퓨터 등을 생산하는 IM부문이 있음. 부품사업(DS부문)에서는 D램, 낸드 플래쉬, 모바일AP 등의 제품을 생산하는 반도체 사업과 TFT-LCD 및 OLED 디스플레이 패널을 생산하는 DP사업으로 구성됨.","한국 및 CE, IM부문 해외  지역총괄과 DS부문 해외  지역총괄, HARMAN 등  종속기업으로 구성된 글로벌 전자기업임. 세트사업에는 TV, 냉장고 등을 생산하는 CE부문과 스마트폰, 네트워크시스템, 컴퓨터 등을 생산하는 IM부문이 있음. 부품사업 DS부문 에서는 DRAM, 낸드 플래시, 모바일AP 등의 제품을 생산하는 반도체 사업과 TFT-LCD 및 OLED 디스플레이 패널을 생산하는 DP사업으로 구성됨. ","['한국', 'CE', 'IM', '부문', '해외', '지역', '총괄', 'DS', '부문', '해외', '지역', '총괄', 'HARMAN', '종속', '기업', '구성', '글로벌', '전자', '기업임', '세트', '사업', 'TV', '냉장고', '생산', 'CE', '부문', '스마트폰', '네트워크', '시스템', '컴퓨터', '생산', 'IM', '부문', '부품', '사업', 'DS', '부문', 'DRAM', '낸드', '플래시', '모바일', 'AP', '제품', '생산', '반도체', '사업', 'TFT', 'LCD', 'OLED', '디스플레이', '패널', '생산', 'DP', '사업', '구성']",한국 CE IM 부문 해외 지역 총괄 DS 부문 해외 지역 총괄 HARMAN 종속 기업 구성 글로벌 전자 기업임 세트 사업 TV 냉장고 생산 CE 부문 스마트폰 네트워크 시스템 컴퓨터 생산 IM 부문 부품 사업 DS 부문 DRAM 낸드 플래시 모바일 AP 제품 생산 반도체 사업 TFT LCD OLED 디스플레이 패널 생산 DP 사업 구성 
1,SK하이닉스,000660,"1983년 현대전자로 설립됐고, 2001년 하이닉스반도체를 거쳐 2012년 최대주주가 SK텔레콤으로 바뀌면서 SK하이닉스로 상호를 변경함. 주력 생산제품은 DRAM, 낸드플래쉬, MCP와 같은 메모리 반도체이며, 2007년부터 시스템LSI 분야인 CIS 사업에 재진출함. 2020년 10월 인텔의 NAND사업  양수를 결정함. 세계 반도체시장 점유율은 D램 28.1%, 낸드플래시 12.7%임."," 현대 전자로 설립됐고,  하이닉스반도체를 거쳐  최대주주가 SK 텔레콤으로 바뀌면서 SK 하이닉스로 상호를 변경함. 주력 생산제품은 DRAM, 낸드플래시, MCP와 같은 메모리 반도체이며,  시스템LSI 분야인 CIS 사업에 재진출함.   인텔의 NAND사업 양수를 결정함. 세계 반도체시장 점유율은 DRAM  낸드플래시  ","['현대', '전자', '설립', '하이닉스', '반도체', '최대', '주주', 'SK', '텔레콤', 'SK', '하이닉스', '상호', '변경', '주력', '생산', '제품', 'DRAM', '낸드플래시', 'MCP', '메모리', '반도체', '시스템', 'LSI', '분야', 'CIS', '사업', '재진출', '인텔', 'NAND', '사업', '양수', '결정', '세계', '반도체', '시장', '점유', 'DRAM', '낸드플래시']",현대 전자 설립 하이닉스 반도체 최대 주주 SK 텔레콤 SK 하이닉스 상호 변경 주력 생산 제품 DRAM 낸드플래시 MCP 메모리 반도체 시스템 LSI 분야 CIS 사업 재진출 인텔 NAND 사업 양수 결정 세계 반도체 시장 점유 DRAM 낸드플래시 
2,NAVER,035420,"동사는 국내 1위 포털 서비스를 기반으로 광고, 쇼핑, 디지털 간편결제 사업을 영위하고 있으며, 공공/금융 분야를 중심으로 클라우드를 비롯한 다양한 IT 인프라 및 기업향 솔루션 제공을 확대해가고 있음. 웹툰, Zepeto, V LIVE 등 다양한 콘텐츠 사업을 통해서도 글로벌 사업 기반을 확장하고 있는 ICT 기업임. 네이버파이낸셜, 네이버 클라우드 등 연결대상 종속회사 76개를 보유함.","동사는 국내  포털 서비스를 기반으로 광고, 쇼핑, 디지털 간편결제 사업을 영위하고 있으며, 공공/금융 분야를 중심으로 클라우드를 비롯한 다양한 IT 인프라 및 기업향 솔루션 제공을 확대해가고 있음. 웹툰, ZEPETO, V LIVE 등 다양한 콘텐츠 사업을 통해서도 글로벌 사업 기반을 확장하고 있는 ICT 기업임. 네이버파이낸셜, 네이버 클라우드 등 연결대상 종속회사  보유함. ","['동사', '국내', '포털', '서비스', '기반', '광고', '쇼핑', '디지털', '간편', '결제', '사업', '영위', '공공', '금융', '분야', '중심', '클라우드', '다양', 'IT', '인프라', '기업향', '솔루션', '제공', '확대', '웹툰', 'ZEPETO', 'V', 'LIVE', '다양', '콘텐츠', '사업', '글로벌', '사업', '기반', '확장', 'ICT', '기업임', '네이버파', '이낸셜', '네이버', '클라우드', '연결', '대상', '종속', '회사', '보유']",동사 국내 포털 서비스 기반 광고 쇼핑 디지털 간편 결제 사업 영위 공공 금융 분야 중심 클라우드 다양 IT 인프라 기업향 솔루션 제공 확대 웹툰 ZEPETO V LIVE 다양 콘텐츠 사업 글로벌 사업 기반 확장 ICT 기업임 네이버파 이낸셜 네이버 클라우드 연결 대상 종속 회사 보유 
3,삼성바이오로직스,207940,"삼성그룹의 계열사로 2011년 4월 설립되었으며, 국내외 제약회사의 첨단 바이오의약품을 위탁 생산하는 CMO 사업을 영위. 2018년 cGMP 생산을 시작하여 2019년말 기준 36.2만리터 생산설비를 가동 중이며, 이 시장에서 선발업체를 추월해 생산설비 기준 세계 1위 CMO로 도약. 동사의 바이오의약품 연구개발 자회사인 삼성바이오에피스와 아키젠바이오텍은 바이오시밀러 개발 및 상업화를 진행 중.","삼성 그룹의 계열사로   설립되었으며, 국내외 제약회사의 첨단 바이오의약품을 위탁 생산하는 CMO 사업을 영위.  CGMP 생산을 시작하여  기준  생산설비를 가동 중이며, 이 시장에서 선발업체를 추월해 생산설비 기준 세계  CMO로 도약. 동사의 바이오의약품 연구개발 자회사인 삼성 바이오에피스와 아키젠바이오텍은 바이오시밀러 개발 및 상업화를 진행 중. ","['삼성', '그룹', '계열사', '설립', '국내외', '제약', '회사', '첨단', '바이오', '의약품', '위탁', '생산', 'CMO', '사업', '영위', 'CGMP', '생산', '시작', '기준', '생산', '설비', '가동', '시장', '선발', '업체', '추월', '생산', '설비', '기준', '세계', 'CMO', '도약', '동사', '바이오', '의약품', '연구', '개발', '자회사', '삼성', '바이오', '에피스', '아키젠바이오텍', '바이오', '시밀러', '개발', '상업', '진행']",삼성 그룹 계열사 설립 국내외 제약 회사 첨단 바이오 의약품 위탁 생산 CMO 사업 영위 CGMP 생산 시작 기준 생산 설비 가동 시장 선발 업체 추월 생산 설비 기준 세계 CMO 도약 동사 바이오 의약품 연구 개발 자회사 삼성 바이오 에피스 아키젠바이오텍 바이오 시밀러 개발 상업 진행 
4,LG화학,051910,"동사는 석유화학 사업부문, 전지 사업부문, 첨단소재 사업부문, 생명과학 사업부문, 공통 및 기타부문의 사업을 영위하고 있음. 연결회사는 2020년 12월 1일 전지 사업부문을 단순·물적분할하여 (주)LG에너지솔루션 및 그 종속기업을 설립함. 동사는 양극재, 엔지니어링 소재, IT소재의 경쟁력을 바탕으로 고부가 제품을 중심으로 한 포트폴리오 전환을 추진 중에 있음.","동사는 석유화학 사업부문, 전지 사업부문, 첨단소재 사업부문, 생명과학 사업부문, 공통 및 기타부문의 사업을 영위하고 있음. 연결회사는    전지 사업부문을 단순·물적분할하여 주 LG 에너지솔루션 및 그 종속기업을 설립함. 동사는 양극재, 엔지니어링 소재, IT소재의 경쟁력을 바탕으로 고부가 제품을 중심으로 한 포트폴리오 전환을 추진 중에 있음. ","['동사', '석유', '화학', '사업', '부문', '전지', '사업', '부문', '첨단', '소재', '사업', '부문', '생명', '과학', '사업', '부문', '공통', '기타', '부문', '사업', '영위', '연결', '회사', '전지', '사업', '부문', '단순', '물', '분할', 'LG', '에너지솔루션', '종속', '기업', '설립', '동사', '양극재', '엔지니어링', '소재', 'IT', '소재', '경쟁력', '바탕', '고부', '제품', '중심', '포트폴리오', '전환', '추진']",동사 석유 화학 사업 부문 전지 사업 부문 첨단 소재 사업 부문 생명 과학 사업 부문 공통 기타 부문 사업 영위 연결 회사 전지 사업 부문 단순 물 분할 LG 에너지솔루션 종속 기업 설립 동사 양극재 엔지니어링 소재 IT 소재 경쟁력 바탕 고부 제품 중심 포트폴리오 전환 추진 
5,카카오,035720,"국내 시장 점유율 1위 메신저 카카오톡을 중심으로 커머스, 모빌리티, 페이, 게임, 뮤직, 콘텐츠 등 다양한 영역에서 수익을 창출하고 있음. 2021년 상반기 누적 기준 매출은 플랫폼 부문 55.8%, 콘텐츠 부문 44.2%로 구성됨. 그간 경쟁사 네이버에 비해 해외 사업 실적이 부진하다는 평가를 받아왔으나 최근 웹툰 플랫폼 픽코마가 일본 시장에서 1위를 차지하는 등 개선되고 있음.","국내 시장 점유율  메신저 카카오톡을 중심으로 커머스, 모빌리티, 페이, 게임, 뮤직, 콘텐츠 등 다양한 영역에서 수익을 창출하고 있음.  상반기 누적 기준 매출은 플랫폼 부문  콘텐츠 부문  구성됨. 그간 경쟁사 네이버에 비해 해외 사업 실적이 부진하다는 평가를 받아왔으나 최근 웹툰 플랫폼 픽코마가 일본 시장에서  차지하는 등 개선되고 있음. ","['국내', '시장', '점유', '메신저', '카카오톡', '중심', '커머', '스', '모빌리티', '페이', '게임', '뮤직', '콘텐츠', '다양', '영역', '수익', '창출', '상반기', '누적', '기준', '매출', '플랫폼', '부문', '콘텐츠', '부문', '구성', '그간', '경쟁사', '네이버', '해외', '사업', '실적', '부진', '평가', '최근', '웹툰', '플랫폼', '픽코마', '일본', '시장', '차지', '개선']",국내 시장 점유 메신저 카카오톡 중심 커머 스 모빌리티 페이 게임 뮤직 콘텐츠 다양 영역 수익 창출 상반기 누적 기준 매출 플랫폼 부문 콘텐츠 부문 구성 그간 경쟁사 네이버 해외 사업 실적 부진 평가 최근 웹툰 플랫폼 픽코마 일본 시장 차지 개선 
6,삼성SDI,006400,"동사는 삼성그룹에 속한 계열회사임. 1970년 삼성-NEC 주식회사로 설립됨. 1999년 상호를 삼성SDI로 변경함. 주요 사업은 에너지솔루션 부문과 전자재료 부문으로 분류됨. 에너지솔루션 부문은 중, 대형전지 등을 생산해 판매함. 전자재료 부문은 반도체 및 디스플레이 소재 등을 제조, 판매함. 2000년 리튬이온 2차전지 사업을 시작한 이래 품질 개선, 안전성 확보 등을 위해 노력해 온 결과 현재까지 업계 선두권을 유지함.","동사는 삼성 그룹에 속한 계열회사임.  삼성 -NEC 주식회사로 설립됨.  상호를 삼성 SDI로 변경함. 주요 사업은 에너지솔루션 부문과 전자재료 부문으로 분류됨. 에너지솔루션 부문은 중, 대형전지 등을 생산해 판매함. 전자재료 부문은 반도체 및 디스플레이 소재 등을 제조, 판매함.  리튬이온  사업을 시작한 이래 품질 개선, 안전성 확보 등을 위해 노력해 온 결과 현재까지 업계 선두권을 유지함. ","['동사', '삼성', '그룹', '계열', '회사', '삼성', 'NEC', '주식회사', '설립', '상호', '삼성', 'SDI', '변경', '주요', '사업', '에너지솔루션', '부문', '전자', '재료', '부문', '분류', '에너지솔루션', '부문', '대형', '전지', '생산', '판매', '전자', '재료', '부문', '반도체', '디스플레이', '소재', '제조', '판매함', '리튬', '이온', '사업', '시작', '품질', '개선', '안전', '확보', '노력', '결과', '현재', '업계', '선두', '유지']",동사 삼성 그룹 계열 회사 삼성 NEC 주식회사 설립 상호 삼성 SDI 변경 주요 사업 에너지솔루션 부문 전자 재료 부문 분류 에너지솔루션 부문 대형 전지 생산 판매 전자 재료 부문 반도체 디스플레이 소재 제조 판매함 리튬 이온 사업 시작 품질 개선 안전 확보 노력 결과 현재 업계 선두 유지 
7,현대차,005380,"동사는 1967년 12월에 설립되어 1974년 6월 28일에 유가증권시장에 상장됨. 동사는 자동차 및 자동차부품을 제조 및 판매하는 완성차 제조업체로, 현대자동차그룹에 속하였으며, 현대자동차그룹에는 동사를 포함한 국내 53개 계열회사가 있음. 소형 SUV인 코나, 대형 SUV인 팰리세이드, 제네시스 G80 및 GV80 등을 출시하여 SUV 및 고급차 라인업을 강화 하였으며, 수소전기차 넥소를 출시함.","동사는   설립되어    유가증권시장에 상장됨. 동사는 자동차 및 자동차부품을 제조 및 판매하는 완성차 제조업체로, 현대 자동차그룹에 속하였으며, 현대 자동차그룹에는 동사를 포함한 국내  계열회사가 있음. 소형 SUV인 코나, 대형 SUV인 팰리세이드, 제네시스 G 및 GV 등을 출시하여 SUV 및 고급차 라인업을 강화 하였으며, 수소전기차 넥소를 출시함. ","['동사', '설립', '유가', '증권', '시장', '상장', '동사', '자동차', '자동차', '부품', '제조', '판매', '완성차', '제조', '업체', '현대', '자동차', '그룹', '현대', '자동차', '그룹', '동사', '포함', '국내', '계열', '회사', '소형', 'SUV', '코', '대형', 'SUV', '팰리세이드', '제네시스', 'G', 'GV', '출시', 'SUV', '고급차', '라인업', '강화', '수소', '전기차', '넥소', '출시']",동사 설립 유가 증권 시장 상장 동사 자동차 자동차 부품 제조 판매 완성차 제조 업체 현대 자동차 그룹 현대 자동차 그룹 동사 포함 국내 계열 회사 소형 SUV 코 대형 SUV 팰리세이드 제네시스 G GV 출시 SUV 고급차 라인업 강화 수소 전기차 넥소 출시 
8,기아,000270,"1999년 아시아자동차와 함께 현대자동차에 인수되었고, 기아차판매, 아시아자동차, 기아대전판매, 아시아차판매 등 4개사를 통합함. 국내(소하리, 화성, 광주)와 미국, 슬로박, 멕시코 공장의 생산능력을 모두 합하면 연간 263만대 규모임. 전체 매출액의 약 40% 내외를 내수시장에서 판매하고 있으며, 북중미 및 유럽시장 등 해외에서의 판매비중은 60%를 상회하는 수준임."," 아시아자동차와 함께 현대 자동차에 인수되었고, 기아차판매, 아시아자동차, 기아대전판매, 아시아차판매 등  통합함. 국내 소하리, 화성, 광주 와 미국, 슬로박, 멕시코 공장의 생산능력을 모두 합하면 연간  규모임. 전체 매출액의 약  내외를 내수시장에서 판매하고 있으며, 북중미 및 유럽시장 등 해외에서의 판매비중은  상회하는 수준임. ","['아시아자동차', '현대', '자동차', '인수', '판매', '아시아자동차', '기아대', '전판매', '아시아', '차', '판매', '통합', '국내', '소하리', '화', '성', '광주', '미국', '슬로박', '멕시코', '공장', '생산', '능력', '합', '연간', '규모임', '전체', '매출액', '내외', '내수', '시장', '판매', '북중미', '유럽', '시장', '해외', '판매', '비중', '상회', '수준']",아시아자동차 현대 자동차 인수 판매 아시아자동차 기아대 전판매 아시아 차 판매 통합 국내 소하리 화 성 광주 미국 슬로박 멕시코 공장 생산 능력 합 연간 규모임 전체 매출액 내외 내수 시장 판매 북중미 유럽 시장 해외 판매 비중 상회 수준 
9,셀트리온,068270,"동사는 생명공학기술 및 동물세포대량배양기술을 기반으로 항암제 등 각종 단백질 치료제(therapeutic proteins)를 개발, 생산하는 것을 목적사업으로 하고 있음. 아시아 최대인 140,000L 규모의 동물세포배양 단백질의약품 생산설비를 보유하고 있으며 향후 개발 일정과 수요 등을 고려하여 3공장 신설 예정. 세계 최초 개발한 자가면역질환 치료용 바이오시밀러 ‘램시마’는 2016년 미국 FDA로 부터 판매 승인 받음.","동사는 생명공학기술 및 동물세포대량배양기술을 기반으로 항암제 등 각종 단백질 치료제 THERAPEUTIC PROTEINS 를 개발, 생산하는 것을 목적사업으로 하고 있음. 아시아 최대인  규모의 동물세포배양 단백질의약품 생산설비를 보유하고 있으며 향후 개발 일정과 수요 등을 고려하여  신설 예정. 세계 최초 개발한 자가면역질환 치료용 바이오시밀러 ‘RAM시마’는  미국 FDA로 부터 판매 승인 받음. ","['동사', '생명', '공학', '기술', '동물', '세포', '대량배양기술', '기반', '항암제', '각종', '단백질', '치료제', 'THERAPEUTIC', 'PROTEINS', '개발', '생산', '목적', '사업', '아시아', '최대', '규모', '동물', '세포', '배양', '단백질', '의약품', '생산', '설비', '보유', '향후', '개발', '일정', '수요', '고려', '신설', '예정', '세계', '최초', '개발', '가', '면역', '질환', '치료', '바이오', '시밀러', 'RAM', '시', '마', '미국', 'FDA', '판매', '승인']",동사 생명 공학 기술 동물 세포 대량배양기술 기반 항암제 각종 단백질 치료제 THERAPEUTIC PROTEINS 개발 생산 목적 사업 아시아 최대 규모 동물 세포 배양 단백질 의약품 생산 설비 보유 향후 개발 일정 수요 고려 신설 예정 세계 최초 개발 가 면역 질환 치료 바이오 시밀러 RAM 시 마 미국 FDA 판매 승인 
