,morph
0,"['한국', '부문', '해외', '지역', '총괄', '부문', '해외', '지역', '총괄', '등', '종속', '기업', '구성', '글로벌', '전자', '기업', '세트', '사업', '냉장고', '등', '생산', '부문', '스마트폰', '네트워크', '시스템', '컴퓨터', '등', '생산', '부문', '부품', '사업', '부문', '램', '낸드플래쉬', '모바일', '등', '제품', '생산', '반도체', '사업', '디스플레이', '패널', '생산', '사업', '구성', 'CE', 'IM', 'DS', 'Harman', 'TV', 'CE', 'IM', 'DS', 'D', 'AP', 'TFT', 'LCD', 'OLED', 'DP']"
1,"['현대전자', '설립', '하이', '닉스', '반도체', '최대주주', 'SK', '텔레콤', 'SK', '하이', '닉스', '상호', '변경', '주력', '생산', '제품', '낸드플래쉬', '메모리', '반도체', '시스템', '분야', '사업', '진출', '인텔', '사업', '양수', '결정', '세계', '반도체', '시장 점유율', '램', '드', '플래시', 'DRAM', 'MCP', 'LSI', 'CIS', 'NAND', 'D']"
2,"['동사', '국내', '포털', '서비스', '기반', '광고', '쇼핑', '디지털', '결제', '사업', '영위', '공공', '금융', '분야', '중심', '클라우드', '인프라', '기업', '향', '솔루션', '제공', '확대', '웹툰', '등', '콘텐츠', '사업', '글로벌', '사업', '기반', '확장', '기업', '네이버', '파이낸셜', '네이버 클라우드', '등', '연결', '대상', '종속', '회사', '보유', 'IT', 'Zepeto', 'VLIVE', 'ICT']"
3,"['삼성', '그룹', '계열사', '설립', '국내외', '제약', '회사', '첨단', '바이오', '의약품', '위탁', '생산', '사업', '영위', '생산', '시작', '기준', '생산', '설비', '가동', '중', '시장', '선발', '업체', '추월', '생산', '설비', '기준', '세계', '도약', '동사', '바이오', '의약품', '연구개발', '자회사', '삼성', '바이오', '에', '피스', '아', '키젠', '바', '이', '오텍', '바이오시밀러', '개발', '상업', '진행', '중', 'CMO', 'cGMP', 'CMO']"
4,"['동사', '석유화학', '사업', '부문', '전지', '사업', '부문', '첨단', '소재', '사업', '부문', '생명과학', '사업', '부문', '공통', '기타', '부문', '사업', '영위', '연결', '회사', '전지', '사업', '부문', '물적', '분할', 'LG', '에너지', '솔루션', '종속', '기업', '설립', '동사', '양극', '재', '엔지니어링', '소재', '소재', '경쟁력', '바탕', '고부', '제품', '중심', '포트폴리오', '전환', '추진', '중', 'IT']"
5,"['국내', '시장 점유율', '메신저', '카카오톡', '중심', '모빌리티', '페이', '게임', '뮤직', '콘텐츠', '등', '영역', '수익', '창출', '상반기', '누적', '기준', '매출', '플랫폼', '부문', '콘텐츠', '부문', '구성', '그간', '경쟁사', '네이버', '해외', '사업', '실적', '부진', '평가', '최근', '웹툰', '플랫폼', '코', '마가', '일본', '시장', '차지', '등', '개선']"
6,"['동사', '삼성', '그룹', '속', '계열', '회사', '임', '삼성', '주식회사', '설립', '상호', '삼성', '변경', '주', '사업', '에너지', '솔루션', '부문', '전자', '재료', '부문', '분류', '에너지', '솔루션', '부문', '중', '대형', '전지', '등', '생산', '판매', '전자', '재료', '부문', '반도체', '디스플레이', '소재', '등', '제조', '판매', '리튬', '이온', '사업', '시작', '품질', '개선', '안전', '확보', '등', '노력', '결과', '현재', '업계', '선두', '유지', 'NEC', 'SDI']"
7,"['동사', '설립', '유가증권', '시장', '상장', '동사', '자동차', '자동차', '부품', '제조', '판매', '완성', '차', '제조', '업체', '현대자동차그룹', '현대자동차그룹', '동사', '포함', '국내', '계열', '회사', '소형', '코', '대형', '인', '팰리세이드', '제네시스', '등', '출시', '고급', '차', '라인업', '강화', '수', '소전', '기차', '출시', 'SUV', 'SUV', 'G', 'GV', 'SUV']"
8,"['아시아', '자동차', '현대', '자동차', '인수', '기아', '차', '판매', '아시아', '자동차', '기아', '대전', '판매', '아시아', '차', '판매', '등', '통합', '국내', '소', '하리', '화성', '광주', '미국', '슬로박', '멕시코', '공장', '생산', '능력', '연간', '규모', '전체', '매출액', '내외', '내수', '시장', '판매', '북', '중미', '유럽', '시장', '등', '해외', '판매', '비중', '상회', '수준']"
9,"['동사', '생명', '공학', '기술', '동물', '세포', '대량', '배양', '기술', '기반', '항암제', '등', '각종', '단백질', '치료제', '개발', '생산', '것', '목적', '사업', '아시아', '최대', '규모', '동물', '세포', '배양', '단백질', '의약품', '생산', '설비', '보유', '향후', '개발', '일정', '수요', '등', '고려', '신설', '예정', '세계', '최초', '개발', '자가면역질환', '치료', '바이오시밀러', '램', '시마', '미국', '판매', '승인', 'therapeuticproteins', 'FDA']"
