,original_code,morph_dart
0,5930,당사 본사 거점 한국 과 CE IM 부문 산하 해외 지역 총괄 DS 부문 산하 해외 지역 총괄 생산 판매 법인 HARMAN 부문 산하 종속 기업 종속 기업 구성 글로벌 전자 기업 사업 SET 사업 TV 모니터 냉장고 세탁기 에어컨 생산 판매 CE CONSUMER ELECTRONICS 부문 HHP 스마트폰 네트워크 시스템 컴퓨터 생산 판매 IM INFORMATION TECHNOLOGY MOBILE COMMUNICATIONS 부문 부품 사업 DRAM NAND FLASH 모바일 AP 제품 생산 판매 반도체 사업 스마트폰 OLED TV 모니터 LCD 디스플레이 패널 생산 판매 DP 사업 구성 DS DEVICE SOLUTIONS 부문 인수 HARMAN 부문 디지털 DIGITAL COCKPIT 텔레매틱스 TELEMATICS 스피커 생산 판매 부문 사업 사항 기타 참고 사항 사업 부문 현황 사업 부문 요약 재무 현황 항목 참조 지역 국내 지역 CE IM 부문 반도체 사업 총괄 본사 종속 기업 사업 운영 본사 수원 구 미 광주 기흥 화 성 평택 사업장 구성 국내 종속 기업 디스플레이 패널 생산 삼성 디스플레이 국내 대리점 판매 전담 삼성 전자 판매 제품 서비스 담당 삼성 전자 서비스 제품 운송 담당 삼성 전자로지텍 상장 종속 기업 구성 해외 지역 미주 유럽 CIS 중동 아프리카 아시아 등 생산 판매 연구 활동 담당 상장 종속 기업 운영 미주 TV HHP SET 제품 미국 판매 담당 SEA NEW JERSEY USA TV 생산 담당 SII CALIFORNIA USA 반도체 DP 판매 담당 SSI CALIFORNIA USA 반도체 생산 담당 SAS TEXAS USA SET 제품 복합 생산 법 SEDA BRAZIL 전장 부품 사업 담당 HARMAN CONNECTICUT USA 포함 판매 생산 담당 법인 유럽 CIS SEUK UK SEG GERMANY SEF FRANCE SEI ITALY SET 제품 판매법인 SEH HUNGARY SESK SK SLOVAKIA TV 생산 법인 가전 제품 생산 법 SEPM POLAND 포함 법인 운영 중동 아프리카 SGE UAE SSA SOUTH AFRICA SET 제품 판매법인 SEEG EGYPT SSAP SOUTH AFRICA TV 생산 법인 포함 법인 운영 아시아 중국 제외 에 SESP SINGAPORE SEAU AUSTRALIA SEPCO PHILIPPINES SME MALAYSIA 판매법인 HHP 생산 법 SEV SEVT VIETNAM TV 생산 법 SEHC VIETNAM DP 생산 법 SDV VIETNAM 복합 생산 법 SIEL INDIA 포함 법인 운영 중국 SCIC BEIJING SEHK HONG KONG SET 제품 판매법인 SSS SHANGHAI SSCX XIAN 반도체 DP 판매 법인 SSEC SUZHOU SET 제품 생산 법인 SCS XIAN 반도체 생산 법인 포함 법인 운영 종속 기업 사항 XII 상세표 연결 대상 종속 회사 현황 상세 항목 참조 반기 당사 매출 전년 동기 대비 증가 주요 매출처 APPLE AVP ELECTRONICS BEST BUY DEUTSCHE TELEKOM VERIZON 알파벳순 
1,660,당사 현대 전자 산업 주식 회사 사명 변경 이후 주식회사 LG 반도체 합병 반도체 메모리반 도체 사업 기반 성장 SK 그룹 편입 현재 미국 독일 영국 일본 싱가포르 인도 홍콩 대만 중국 판매법 사무소 설치 글로벌 영업망 구축 당사 당사 종속 기업 주력 제품 DRAM NAND 중심 메모리반도체 주력 생산 시설 일부 FAB M M 일부 활용 시스템 반도체 CIS CMOS IMAGE SENSOR 생산 파운드리 FOUNDRY 사업 병행 반도체 메모리 반도체 메모리 반도체 구분 메모리 반도체 정보 저장 기억 기능 일반 휘발 VOLATILE 비휘발 NON VOLATILE 분류 휘발 메모리 제품 전원 정보 반면 비휘발성 제품 전원 저장 정보 당사 휘발 메모리 DRAM 비휘 발성 메모리 NAND FLASH 주력 생산 당사 생산 시설 국내 중국 소재 국내 소재 FAB DRAM 생산 M M M 천 과 NAND 생산 M M M 청주 M M 준공 완료 최신 FAB DRAM 주력 생산 예정 M DRAM NAND 혼용 생산 M DRAM CIS 혼용 생산 중국 소재 FAB DRAM 생산 C C 중국 장쑤 우시 당사 매출액 반기 누계 기록 내용 공시 서류 II 사업 내용 참조 
2,35420,네이버 혁신 최고 서비스 글로벌 도전 집합체 A SET OF GLOBAL CHALLENGES 첨단 기술 일상 서비스 사용자 연결 경험 도전 다양 기회 가능 네이버 이해 관계자 차별 가치 제공 네이버 환경 변화 변화 도약 기회 동안 회사 성장 견인 혁신 바탕 글로벌 시장 신규 사업 도전 네이버 지속 성장 목표 기술 서비스 선제 투자 진행 핵심 사업 경쟁력 강화 네이버 국내 인터넷 검색 포털 네이버 NAVER 기반 광고 커머스 사업 매출 창출 웹툰 ZEPETO V LIVE 콘텐츠 서비스 금융 씬파 러 핀테크 기업 솔루션 제공 클라우드 다각 사업 포트폴리오 기반 안정 성장 네이버 기존 사업 성장세 유지 한편 신성 장동력 커머 스 핀테크 콘텐츠 클라우드 사업 모두 성장 사업 부문 매출 현황 사업 내용 매출 수주 상황 참고 
3,207940,당사 바이오 의약품 위탁 생산 CMO 사업 세포주개발 공정 제형 분석법 세포주 개발 초기 임상 개발 서비스 제공 CDO 사업 영위 당사 인천송도 경제 자유구역 송도 지구 상업 생산 설비 임상 생산 설비 CAPACITY 확보 생산 설비 기준 세계 바이오 CMO 부상 LONZA BOEHRINGER INGELHEIM CDO 사업 안정 수주 확대 해외 거점 확대 운영 미국에 종속 기업 SAMSUNG BIOLOGICS AMERICA INC . 설립 당사 바이오의약품 연구 개발 자회사 삼성 바이오 에피스 바이오 시밀러 개발 상업 진행 이오의약품 시장 규모 전체 제약 시장 비중 차지 연평균 성장 제약 시장 성장 견인 전망 성장 제약사 CMO 활용 확대 추세 EVALUATE PHARMA MCKINSEY 기준 바이오 CDMO 시장 규모 블록버스터 바이오 의약품 지속 개발 글로벌 제약사 중소 바 이오 텍 생산 분야 아웃소싱 확대 제약 사대 END TO END CDMO SERVICE 제공 니즈 증가 공급 안정 확보 DUAL SOURCING 수요 확보 성장 요인 기인 기준 향후 연평균 성장 기준 규모 성장 전망 FROST SULLIVAN 기준 당사 바이오 의약품 시장 주류 동물 세포 기반 항체 의약품 생산 전문 바이오 CMO 사업 영위 시장 당사 대형 생산 설비 보유 소수 대형 CMO 기업 시장 주도 기준 스위스에 본사 LONZA 세계 동물 세포 배양 설비 보유 독일 BOEHRINGER INGELHEIM 독일 미국 생산 설비 보유 경쟁사 미국 스위스 독일 주요 국가 생산 규모 증설 당사 규모 CGMP 생산 시작 기준 생산 설비 가동 향후 규모 신설 세계 생산 설비 리더십 지속유지 전망 당사 항체 의약품 CMO 중심 서비스 글로벌 종합 바이오기업 도약 사업 영역 CDO 서비스 확장중 코로 확산 이후 급증 시장 수요 MRNA 백신 원료 의약품 생산 역량 CDO 서비스 자체 세포주 공정 개발 역량 중소 제약사 대상 세포주 공정 제형 개발 서비스 제공 위탁 개발 서비스 당사 업계 평균 대비 배 향상 세포 생존력 개선 증식력 자체 개발 세포주 에스 초이 스 S CHOICE 개발 성공 미국 대표 바이오 클 러스터 샌프란시스코 의약품 위탁 개발 R D 센터 향후 보스턴 유럽 중국 순차 진출 계획 MRNA 백신 바이러스 직접 체내 주입 기존 백신 비교 안전 백신 때 바이러스 항원 배양 시간 시간 절약 장점 당사 인천 송도 기존 설비 증설 상반기 우수 의약품 제조 품질 관리 기준 CGMP 대한준 비 완비 
4,51910,석유 화학 사업 납사 원료 에틸렌 프로필렌 부타디 벤젠 기초 유분 생산 공업 원료 다양 합성 수지 생산 공업 포괄 사업 규모 장치 산업 특징 주요 제품 PE PVC ABS SAP 합성 고무 첨단 소재 사업 IT 가전 산업 기술 변화 자동차 경량 전기차 자동차 산업 트렌드 핵심 소재 개발 생산 판매 사업 IT 가전 자동차 산업 기술 변화 기술 제품 개발 고객 맞춤 전략 추진 생명 과학사업 당뇨 신약 제미글 로 인간 성장 호르몬제 유 트로핀 관절 염주 사 시노비안 류머티스 관절염 치료제 유셉트 히알루론산 필러 이브아르 유 펜타 의약품 생산 판매 사업 전지 사업 EV ELECTRIC VEHICLE LEV LIGHT ELECTRIC VEHICLE ESS 에너지 저장 장치 IT 기기 전동공구 적용 전지 관련 제품 연구 개발 제조 판매 사업 당사 해당 사업 부문 단순 물 분할 종속 회사 LG 에너지솔루션 설립 EV 각국 환경 규제 친환경 정책 확대 수요 증가 성장 가능 사업 ESS 신재생 에너지 발전 발전 전력 효율 활용 중요 수요 확대 당사 종속 회사 팜한농 작물 보호 비료 종자 제조 판매 주요 사업 당사 매출액 작물 보호 사업 비료 사업 종자 사업 기타 로 구성 작물 보호 사업 친환경 독 제품 개발 비료 사업 특수 비료 중심 사업 구조 전환 종자 분야 다양 원예 종자 확보 신품종 개발 지속 추진 당사 반기 기준 매출 달성 사업 부문 매출액 석유 화학 전지 첨단 소재 생명 과학 공통 기타 부문 로 구성 석유 화학 사업 부문 글로벌 경기 회복 전방 산업 수요 개선 신재생 너지 위생 소재 포함 친환경 제품 차별 제품 포트폴리오 보유 주요 제품 ABS PVC NBL 매출 확대 역대 최고 실적 달성 상반기 과열 수요 진정 스 프 레드 하향 안정 예상 여 수 NCC CNT 중국 NBL 신규 증설 라인 본격 가동 매출 확대 DOWNSTREAM 중심 차별 제품 포트폴리오 바탕 견조 수익 지속 유지 예상 전지 사업 부문 반도체 수급 이슈 고객사 생산량 감소 ESS 충당금 설정 전기 차용 원통 전지 매출 증가 소송 합의 라 이선스비 인식 전분기 대비 매출 수익 개선 향후 반도체 수급 이슈 개선 고객사 생산 정상 기대 하반기 프리미엄 IT 제품 출시 본격 예상 첨단 소재 사업 부문 양극재 출하량 확대 엔지니어링 소재 판가 상승 전년 대비 매출 성장 생산 향상 활동 수익 개선 향후 단기 전방 산업 수급 기존 양극재 사업 금번 인수 결정 SRS 분리막 사업 작성 기준일 이후 당사 이사회 승인 특수 관계인 영 업 양수 공시 지 소재 사업 확대 지속 매출 성장 견조 수익 확보 예상 생명 과학 사업 부문 당뇨 치료제 제 미글로 성장 호르몬제 유 트 로핀 주요 제품 시장 지위 강화 동시 제품 소아마비 백신 유폴리 오 공급 개시 매출 성장 수익 개선 향후 주요 제품 시장 점유 유지 에스테틱 분야 수요 회복 예상 글로벌 신약 개발 강화 R D 투자 확대 전망 주 팜 한 농 사업 원료 상승 불구 작물 보호 판매 확대 전년 대비 매출 수익 개선 테라도 미국 호주 출시 해외 사업 기반 강화 향후 작물 보호제 종자 판매 확대 수익 구조 개선 전망 
5,35720,제조 서비스업 사업 개요 당사 국내 대표 메신저 카카 오 톡 인터넷 포털 사이트 다음 DAUM 모바일 인터넷 기반 커머스 모빌리티 금융 게임 음악 스토 리 IP 주축 사업 전개 연결 기준 사업 부문 플랫폼 부문 콘텐츠 부문 구분 플랫폼 부문 카 카오톡 소셜 트워크 레 리 다양 비즈니스파트너 디지털트랜스포메이션 지원 톡비즈 다음 DAUM 포털 충성 사용자 트래픽 창출 온라인 광고 부문 주영역 포털비즈 카 카오 모빌 리티 카카오페이 카카오엔터프라이즈 연결 종속 회사 전개 미래 성장 동력 플랫폼 기타 구성 콘텐츠 부문 PC 모바일 채널링 퍼블 리싱 개발 영역 포트폴리오 확장 게 임 국내 최대 규모 유료 가입자 기반 확보 음악 플랫폼 멜론 MELON 음원 음반 유통 부문 포함 뮤직 경쟁력 스토리 IP 발굴 국내 글로벌 무대 이용자 저변 스토리 아티스트 IP 활용 매니지먼트 사업 영상 콘텐츠 제작 사업 전개 미 디 어 구분 당분기 연결 기준 누적 영업 수익 전년 동기 대비 성장 플랫폼 부문 비즈 보드 톡채널 중심 카카오톡 비즈니스액션 활성 광고 거래형 매출 동반 성장세 시장 선도 혁신 서비스 다양 이용자 접점 형성 양질 트래픽 축적 플랫폼 기타 부문 카 카 오 모 빌 리티 카 카 오 페 이 매출 수익 확대 콘텐츠 부문 게임 콘텐츠 신규 모바일 게임 흥행 기록 영업 수익 성장 기여 스토리콘텐츠 카카오엔터테인먼트 글로벌 플랫폼 네트워크 확장 영향 카카오픽코마 카 카오 엔터테인먼트 시너지 강화 세계 다양 이용자 몰입 콘텐츠 경험 제공 당사 미래 성장 동력 신규 사업 투자 블록 체인 미래 핵심 기술 정의 블록체 사업 담당 자회사 GROUND X 다음 생태 기반 예상 블록체 기술 연구 블록체 플랫폼 클레이튼 메인넷 정식 출시 GROUND X 전략 파트너 확보 자체 제작 기획 비 앱 런칭 클레이튼 생태 구축 계획 카카오엔터프라이즈 B 영역 행보 본격 계획 AI 기술력 카카오 DIGITAL ASSET 기업 문제 해결 B IT 플랫폼 기업 입지 예정 고 당사 동안 진행 분할 합병 기업 구조 개편 일부 매출 분류 변경 변경 매출 비교 재무 제표 분 변경 부분 캐릭터 IP 사업 카 카 오프렌즈 매출 기존 콘텐츠 영역 국내 온라인 판매 매출 톡비즈 나머지 플랫폼 기타 분 
6,6400,당사 소형 전지 자동차전지 ESS 리튬 이온 전지 생산 판매 에너지솔루션 사업 부문 반도체 디스플레이 소재 생산 판매 전자 재료 사업 부문 영위 에 너지솔루션 사업 부문 소형전지 원형 각형 폴리머전지 제품 개발 판매 휴대폰 태블릿 PC IT 기기 확산 전동공 구 E BIKE 뉴 어플리케이션 분야 효율 친환경 에너지원 요구 사업 영역 지속 확대 자동차전지 효율 고용량 리튬 이온 개발 세계 자동차 완성업체 공급 기존 내연 기관 차량 배출 이산화탄소 각종 대기 오염 물질 최소 경제 친환경 구현 제품 지속 가능 실현 ESS 소형 전지 사업 안전 기반 ESS 시장 시장 점유 기록 전기차 공급 배터리 기술력 제조 공법 ESS 용 사용 품질 신뢰 확보 전 자 재료 사업 부문 디 스플레이 차세대 에너지 분야 활용 소재 개발 판매 반도체 LCD 기존 시장 시장 지배력 강화 동시 QD OLED EUV 차세대 첨단 소재 시장 선도 리더십 확보 노력 상세 내용 기타 참고 사항 다 사업 부문 현황 참고 
7,5380,당사 결 종속 회사 이하 연결 실체 자동차 자동차 부품 제조 판매 차량 정비 사업 운영 차량 부문 차량 할부 금융 결제 대행 업무 사업 운영 금융 부문 철도 차량 제작 사업 운영 기타 부문 구성 부문 매출 비중 최근 사업년 기준 차량 부문 금융 부문 기타부문 약 부문 주요사 현황 아래 제조 서비스업 사업 개요 차량 부 문 당사 누적 판매 실적 바탕 연결 기준 차량 부문 매출 기록 글로벌 반도체 수급 안 정세 지속 생산 차질 국내 하계 휴가 추석 연휴 영업 일수 감소 판매 감소 제네시스 상반기 출시 최초 전용 전기차 아이오닉 포함 친환경차 비중 증가 매출 증가세 내수시장 차량 반도체 수급난 국내 주요 메이커 공급 차질 누계 판매 전년 동기 대비 감소 해외 반도체 수급 이슈 완성차 공급 제약 수요 하락세 전환 가용 재 활용 상반기 출시 신차 친환경차 판매 본격 소매 판매 호조세 당사 지속 성장 장기 전략 스마트 모빌리티 솔루션 기업 전환 추진 디지털 기술 기반 지속 가능 이동 경험 고객 제공 다양 노력 품질 기반 개인 가치 디지털 경험 인간 자연 공존 추구 당사 스마트 모빌리티 솔루션 기업 성공 전환 완성차 사업 경쟁력 제고 전동 선도 ② 모빌리티서 비스 사업 기반 구축 ③ 수소 생태 이니셔티브 확보 전략 방향 수립 추진 기타 부 문 현대 타부문 현대 로 템 설립 국가 기간 산업 철도 차량 제작 E M ELECTRICAL MECHANICAL O M OPERATION MAINTENANCE 영위 철도 사업 K 계열 전차 차륜형장갑차 양산 사업 창정비 사업 수행 방산 사업 제 철 설비 완성차 생산 설비 스 마트 팩토리 설비 수소인프라 설비 납품 플랜트 사업 영위 세계 철도 차량 시장 점유 순위 최초 기록 이후 세계 유지 기준 전체 매출액 레일솔루션부문 매출액 디 펜스솔루션부문 매출액 에코플랜트 부문 매출액 수주 잔고 확보 내용 공시 서류 II 사업 내용 참조 
8,270,당사 연결 종속 회사 보고서 작성 기준 완성차 부분품 제조 판매 렌트 정비 용역 사업 영위 렌트 정비 부문 연결 실체 전체 매출 차지 비중 중요 연결 실체 보고 부문 구성 주요 제품 완성차 승용 RV 상용 구분 승용 주요 차종 모닝 레이 K K K 스팅어 K RV 주요 차종 니 셀토스 스포티지 쏘렌 토 모하비 카니발 상용 주요 차종 트럭 버스 주요 원재료 엔진 미션 모듈 부품 철판 페인트 원자재 기타 구성 협력 회사 계열 회사 공급 상반기 기준 생산 능력 생산실적 가동 국내 생산 공장 광명 화 성 광주 서산 위탁 생산 위치 해외 생산 공장 미국 슬로바키아 멕시코 인도 중국 연결 제외 위치 상반기 매출액 주요 시장 자동차 수요 폭 회복 가운데 신차 K 카니발 쏘렌 토 핵심 차종 중심 판매 확대 전년 동기 대비 증가 기록 영업 이익 판매 대수 증가 RV 비중 확대 믹스 개선 주요 권역 인센티브 축소 전년 동기 대비 증가 기록 연결 재무 제표 기준 
9,68270,가 주요 영위 사업 당사 영위 사업 바이오 시밀러 항체 신약 개발 단백질 의약품 위탁 생산 사업 화학 합성 의약품 사업 구분 바이 오시 당사 주요 제품 당사 최초 글로벌 시장 상업 성공 글로벌 수준 의약품 규제 기관 제품 허가 세계 최초 항체 바이오 시밀러 자가 면역 질환 치료제 RAM 시 마 CT P 각국 순차 허가 출시 RAM 시마 SC 제 피하 주사 RAM 시마 SC CT P SC 미국 유럽 각국 판매 시작 점유 성장세 혈액암 치료제 트룩시 CT P 유방암 치료제 허 쥬마 CT P 최근 유럽 판매허가 휴미 유일 고농 바이오 시밀러 유플 라 이마 CT P 이외 당사 장기 계획 아래 CT P 아바스틴 바이오 시밀러 CT P 아일리아 바이오 시밀러 다수 블록버스터 항체 의약품 바이오 시밀러 개발 진행 항체 신약 개발 활동 바탕 향후 지속 세계 항체 바이오 시밀러 시장 선도 계획 항체 신약 개발 당사 각종 유행 계절 인플루엔자 효과 종합 인플루엔자 항체 치료 제 CT P 개발 임상 완료 상태 후속 임상 포함 개발 계획 정부 개발 지원 프로그 RAM 다양 개발 모델 고려 동시 효율 임상 디자인 규제 기관 논의 지속 진행 당사 초 글로벌 팬데믹 상황 야기 코로 대응 코로 항체 치료 CT P 렉 키로나주 개발 대한민국 식품 약품 안전처 임상 시험 전제 조건부 품목 허가 승인 국내 해외 진행 임상 시험 위약군 대비 통계 유의 안정 증명 바이오 시밀러 항체 신약 개발 관련 세부 내용 II 사업 내용 기타 참고 사항 사업 개요 주요 제품 서비스 추가 내용 참고 단백질의약품 위탁 생산 사업 단백질 의약품 위탁 생산 사업 셀트리온 첨단 설비 생산 품질 관리 기술 바탕 고객사 개발 세포주 대량 배양 생산 목표 의약품 단백질 정제 추출 공급 사업 의미 당사 기술력 바탕 글로벌 제약 회사 TEVA 프레 마네주 원료 의약품 공급 의약품 위탁 생산 CMO 계약 안정 원료 의약품 공급 화학 합성 약품 사업 당사 글로벌 화학 합성의약품 프로젝트 제품 에이즈 치료제 테믹시스 TEMIXYS 미국 FDA 허가 획득 시작 제 네릭 항생제 리네졸리드 LINEZOLID 기관 승인 밖 HIV 치료 복합 개량 신약 CT G FDA 잠정 승인 자회사 셀트리온 제 약 청주공장 CT G 상업 생산 전용 라인 구축 공급 물량 생산 확대 글로벌 조달시장 진출 글로벌 케미컬 프로젝트 일환 비후 심 근증 신약 CT G 치매 치료제 도네페질 DONEPEZIL 패치제 다양 케미컬 의약품 임상 개발 완료 향후 글로벌 시장 당사 화학 합성 의약품 경쟁력 계획 부 다케 다 PRIMARY CARE APAC 영업양수 제품군 권리 자산 인수 절차 마무리 전문 의약품 브랜드 일반 의약품 APAC 판매 영업 특허 전체 권리 인수 판매 셀트리온 복합제 기술 기반 당뇨 혈압 제제 복합제 개발 진행 생산 설비 원재료 현황 당사 설립 이후 지속 투자 고급 인력 확보 항체 의약품 개발 생산 자체 생산 설비 확보 운영 노하우 품질 관리 시스템 인프라 구축 당사 미국 FDA 유럽 EMA 선진국 허가 기관 인증 설비 확보 미국 유럽 세계 최초 항체 바이오 시밀러 RAM 시마 트룩 시마 허 쥬마 세계 최초 인플 릭시 피하 주사 제제 RAM 시마 SC 제품 허가 획득 세계 경쟁력 보유 종합 생명 공학 회사 자리매김 당사 동물 세포 배양 단백질 의약품 생산 설비 보유 향후 제품 개발 상업 일정 시장 수요 고려 다각 도 생산 능력 확대 검토 국내 신설 추가 설비 증설 진행 생산 능력 확보 외부 CMO CONTRACT MANUFACTURING 위탁 생산 활용 적극 검토 당사 보고일 해외 소재 CMO 업체 활용 규모 위탁 생산 CAPACITY 확보 CMO 포함 생산 설비 당사 의약품 제조 사용 원재료 사업 특성 매입처 주문 생산 방식 조달 계약 당사자 상호 협의 가격 조정 매출 수주 상황 코로 팬데믹 상황 유플라이마 신규 공급 영향 RAM 시 마 RAM 시마 SC 트룩시마 기존 제품 매출 주요 종속 회사 실적 개선 상반기 당사 연결 기준 매출액 기록 전년 대비 증가 영업 이익 전년 대비 성장 당사 개발 바이오 시밀러 제품 세계 시장 출시 판매 계열 회사 셀트리온헬 스 케어 세계 시장 미국 유럽 선진국 시장 아시아 중남미 기타 권역 간접 판매 네트워크 구축 완료 시장 선점 기반 확보 당사 주 셀트리온헬 스케 어 체결 판매권부여기본계약 제품 공급 계약 근거 셀트리온헬스케어 바이오 의약품 판매 용역 매출 연결 기준 전반기 발생 보고 기간 종료일 관련 매출 채권 장부 금액 연결 기준 전기말 
