,name,text_clusters,price_clusters,finance_clusters,merge_cluster
0,삼성전자,7,0,3,4
1,SK하이닉스,7,6,3,8
2,NAVER,0,1,0,7
3,삼성바이오로직스,8,8,0,7
4,LG화학,7,6,3,8
5,카카오,0,1,0,7
6,삼성SDI,7,0,3,4
7,현대차,4,0,4,4
8,기아,4,0,3,4
9,셀트리온,8,5,0,3
10,POSCO,6,7,2,0
11,현대모비스,4,0,2,4
12,KB금융,3,7,4,2
13,SK이노베이션,7,0,1,4
14,삼성물산,2,9,3,5
15,SK텔레콤,0,7,3,0
16,LG생활건강,2,6,3,8
17,신한지주,3,7,4,2
18,LG전자,4,0,2,4
19,SK,7,0,2,4
20,LG,1,3,3,1
21,한국전력,9,9,2,5
22,삼성생명,3,3,2,2
23,하나금융지주,3,7,4,2
24,엔씨소프트,0,6,3,8
25,하이브,0,1,0,7
26,삼성에스디에스,5,6,3,8
27,HMM,5,7,3,0
28,두산중공업,6,8,3,0
29,삼성전기,0,0,3,4
30,삼성화재,3,8,2,2
31,S-Oil,1,1,1,0
32,포스코케미칼,7,0,0,4
33,KT&G;,2,2,2,6
34,넷마블,0,9,3,5
35,아모레퍼시픽,2,3,3,1
36,고려아연,1,8,3,0
37,대한항공,5,1,2,0
38,우리금융지주,3,8,2,2
39,기업은행,3,8,4,2
40,KT,0,8,2,0
41,한화솔루션,1,5,2,8
42,롯데케미칼,4,6,2,8
43,한온시스템,4,0,3,4
44,SK바이오팜,8,2,1,9
45,한국조선해양,9,3,4,1
46,SKC,7,1,3,0
47,LG유플러스,0,8,2,0
48,현대글로비스,5,6,2,8
49,LG디스플레이,9,3,2,1
50,강원랜드,1,1,1,0
51,코웨이,4,8,3,0
52,CJ제일제당,2,9,2,5
53,현대제철,1,7,2,0
54,현대건설,6,7,2,0
55,미래에셋증권,3,6,3,8
56,금호석유,1,3,3,1
57,한국타이어앤테크놀로지,1,7,2,0
58,삼성엔지니어링,6,8,0,7
59,오리온,2,6,3,8
60,현대중공업지주,9,7,2,0
61,한국금융지주,3,7,4,2
62,일진머티리얼즈,6,1,0,7
63,DB손해보험,3,8,2,2
64,LG이노텍,4,0,3,4
65,이마트,1,0,2,4
66,유한양행,8,5,0,3
67,삼성증권,3,8,2,2
68,아모레G,2,3,3,1
69,GS,1,7,2,0
70,삼성카드,3,8,4,2
71,한국가스공사,6,1,2,0
72,한미사이언스,1,9,0,5
73,한솔케미칼,7,1,3,0
74,쌍용C&E;,6,1,3,0
75,두산밥캣,9,7,2,0
76,한진칼,5,2,1,6
77,삼성중공업,6,6,1,8
78,NH투자증권,3,7,2,2
79,GS건설,6,0,2,4
80,호텔신라,1,7,4,0
81,롯데지주,1,9,2,5
82,GS리테일,1,3,2,1
83,CJ대한통운,5,3,2,1
84,메리츠증권,3,1,2,2
85,두산퓨얼셀,6,5,4,8
86,한미약품,8,6,3,3
87,팬오션,5,1,3,0
88,OCI,7,1,4,0
89,효성첨단소재,4,1,3,0
90,에스원,0,5,3,8
91,녹십자,8,5,0,3
