name,PER,PBR,PCR,EV/EBITDA,Dividend
삼성전자,4.202417722,0.839959587,2.867896464,2.475084883,-4.563198526
SK하이닉스,4.080657663,0.565597176,2.700439718,2.572889668,-6.559791925
NAVER,6.039357765,2.941106311,5.530445355,5.246408087,-9.965784285
삼성바이오로직스,7.866598937,3.612352499,8.105122798,6.993108222,0
LG화학,6.875657213,1.735522177,3.378511623,3.959770155,-6.265344567
카카오,8.468420402,3.13422094,5.811471031,6.190022175,-12.28771238
삼성SDI,6.544114402,2.010779839,4.784503983,4.9795681,-9.587272661
현대차,5.3305584,-0.304006187,-7.114054629,4.093391153,-6.10780329
기아,4.516645558,0.176322773,2.634593268,2.778208576,-6.392894616
셀트리온,5.880685525,3.09592442,6.397802962,5.060047384,0
카카오뱅크,7.672283894,3.201633861,7.132062678,7.53099149,0
POSCO,3.908812908,-0.943416472,1.459431619,2.263034406,-5.10780329
현대모비스,3.905928478,-0.556393349,3.182692298,2.403267722,-5.912672948
KB금융,2.750606505,-0.915935735,-1.007195501,4.348374075,-4.979373349
크래프톤,5.370164281,4.320484678,5.085339669,4.98458935,0
SK이노베이션,0,0.367371066,2.843983844,-4.651912745,0
삼성물산,4.35614381,-0.59946207,4.051372102,3.812498225,-5.60823228
SK텔레콤,6.376081967,2.272023189,2.100977648,2.533563348,-7.265344567
LG생활건강,4.733896605,2.137503524,4.379898164,3.736604875,-6.764150423
신한지주,2.472487771,-1.152003093,-2.09423607,4.411426246,-4.640253953
LG전자,3.498250868,0.526068812,2.260025656,2.150559677,-6.673002535
SK,6.574707046,-0.089267338,0.847996907,2.881664619,-5.184424571
SK바이오사이언스,8.772413555,5.768713657,6.908572759,8.371863748,0
LG,3.401903472,-0.395928676,4.331275267,2.655351829,-5.13796526
한국전력,2.851998837,-2.251538767,0.111031312,2.424922088,-4.202903992
삼성생명,3.379898164,-1.736965594,2.153805336,3.357552005,-4.721658341
하나금융지주,2.280956314,-1.286304185,-0.713695815,4.078951341,-4.529489165
엔씨소프트,4.760220946,2.15704371,4.559491813,4.06436554,-6.40506933
하이브,7.204375511,3.645009884,6.752213368,6.405652061,0
SK아이이테크놀로지,6.780703794,3.121015401,6.35948603,5.917193037,0
삼성에스디에스,4.757556689,0.847996907,3.590961241,2.592158002,-6.011587974
HMM,6.072748952,2.324810603,2.565597176,3.489286023,0
두산중공업,0,1.575312331,4.496973581,4.793895883,0
삼성전기,4.427606173,1.137503524,3.016139703,2.961623328,-6.895394957
삼성화재,3.880685525,-0.666576266,2.897240426,2.695993813,-4.64385619
S-Oil,0,0.887525271,2.659924558,-5.018812186,0
포스코케미칼,8.337220478,3.257010618,7.910552793,6.54565954,-9.039784866
KT&G;,3.304511042,0.275007047,3.193771743,2.438292852,-4.135427537
넷마블,5.177519203,0.963474124,4.949067966,4.864928972,-7.429731384
아모레퍼시픽,8.481960843,1.459431619,4.449561375,4.110196178,-7.828280761
고려아연,4.022367813,0.411426246,4.339850003,2.618238656,-5.039784866
대한항공,0,0.948600847,1.937344392,3.529820947,0
우리금융지주,2.887525271,-1.251538767,1.432959407,4.263034406,-5.216250017
기업은행,2.462052319,-1.514573173,-0.111031312,6.176123271,-4.553002759
KT,3.601696516,-0.888968688,0.765534746,1.250961574,-4.503077534
한화솔루션,4.215678597,-0.043943348,2.477677328,3.275007047,0
롯데케미칼,5.515699838,-0.836501268,2.454175893,2.521050737,-5.878321443
한온시스템,6.055282436,1.790772038,3.168321116,3.559491813,-5.423526235
SK바이오팜,0,4.390254956,-5.086189313,-5.022367813,0
한국조선해양,0,-0.64385619,-6.247737673,4.174725988,0
SKC,7.421559945,1.778208576,4.337711092,4.545350645,-7.40506933
LG유플러스,3.715893371,-0.268816758,1.244887059,1.89917563,-4.965784285
현대글로비스,3.298658316,0.23878686,2.572889668,2.680324357,-5.506352666
LG디스플레이,0,-0.556393349,1.827819025,2.13093087,0
강원랜드,0,0.678071905,-3.033863452,-3.486714373,0
