,x2
005930,"당사는 본사를 거점으로 한국 과 CE, IM 부문 산하 해외  지역총괄 및 DS 부문 산하 해외  지역총괄의 생산 판매법인, HARMAN 부문 산하 종속기업 등  종속기업으로 구성된 글로벌 전자 기업입니다. 사업별로 보면, SET 사업에는 TV를 비롯하여 모니터, 냉장고, 세탁기, 에어컨 등을 생산 판매하는 CE CONSUMER ELECTRONICS 부문과 HHP 스마트폰 등 , 네트워크시스템, 컴퓨터 등을 생산 판매하는 IM INFORMATION TECHNOLOGY MOBILE COMMUNICATIONS 부문이 있습니다. 부품 사업에는 DRAM, NAND FLASH, 모바일AP 등의 제품을 생산 판매하고 있는 반도체 사업과 스마트폰용 OLED 및 TV 모니터용 LCD 등의 디스플레이 패널을 생산 판매하고 있는 DP 사업으로 구성된 DS DEVICE SOLUTIONS 부문이 있습니다. 또한,  인수한 HARMAN 부문에서는 디지털 콕핏 DIGITAL COCKPIT , 텔레매틱스 TELEMATICS , 스피커 등을 생산 판매하고 있습니다. 부문별 사업에 관한 자세한 사항은 ' 기타 참고사항'의 '다. 사업부문별 현황'과 '라. 사업부문별 요약 재무현황' 항목을 참조하시기 바랍니다. 지역별로 보면, 국내 지역에서는 CE, IM 부문 및 반도체 사업 등을 총괄하는 본사와  종속기업이 사업을 운영하고 있습니다. 본사는 수원, 구미, 광주, 기흥, 화성, 평택사업장 등으로 구성되어 있으며, 국내 종속기업은 디스플레이 패널을 생산하는 삼성 디스플레이와 국내 대리점 판매를 전담하는 삼성 전자판매, 제품 서비스를 담당하는 삼성 전자서비스 및 제품 운송을 담당하는 삼성 전자로지텍 등 총  비상장 종속기업으로 구성되어 있습니다. 해외 지역 미주, 유럽 CIS, 중동 아프리카, 아시아 등지 에서는 생산, 판매, 연구 활동 등을 담당하는  비상장 종속기업이 운영되고 있습니다.미주에는 TV, HHP 등 SET제품의 미국 판매를 담당하는 SEA NEW JERSEY, USA , TV 생산을 담당하는 SII CALIFORNIA, USA , 반도체 DP판매를 담당하는 SSI CALIFORNIA, USA , 반도체 생산을 담당하는 SAS TEXAS, USA , SET제품 복합 생산법인 SEDA BRAZIL , 전장부품사업 등을 담당하는 HARMAN CONNECTICUT, USA 등을 포함하여 총  판매 생산 등을 담당하는 법인이 있습니다. 유럽 CIS에는 SEUK UK , SEG GERMANY , SEF FRANCE , SEI ITALY 등 SET제품 판매법인과 SEH HUNGARY , SESK SK SLOVAKIA 등 TV 생산법인, 가전제품 생산법인 SEPM POLAND 등을 포함하여 총  법인이 운영되고 있습니다.중동 아프리카에는 SGE UAE , SSA SOUTH AFRICA 등 SET제품 판매법인과 SEEG EGYPT , SSAP SOUTH AFRICA 등 TV 생산법인을 포함한 총  법인이 운영되고 있습니다.아시아 중국 제외 에는 SESP SINGAPORE , SEAU AUSTRALIA , SEPCO PHILIPPINES , SME MALAYSIA 등 판매법인과, HHP 등 생산법인 SEV SEVT VIETNAM , TV 등 생산법인 SEHC VIETNAM , DP 생산법인 SDV VIETNAM , 복합 생산법인 SIEL INDIA 등을 포함한 총  법인이 운영되고 있습니다.중국에는 SCIC BEIJING , SEHK HONG KONG 등 SET제품 판매법인과 SSS SHANGHAI , SSCX XIAN 등 반도체 DP 판매법인, SSEC SUZHOU 등 SET제품 생산법인, SCS XIAN 등 반도체 생산법인을 포함하여 총  법인이 운영되고 있습니다. 종속기업에 대한 자세한 사항은 'XII. 상세표'의 ' 연결대상 종속회사 현황 상세 ' 항목을 참조하시기 바랍니다. 반기 당사의 매출은   전년 동기 대비  증가하였으며, 주요 매출처로는 APPLE, AVP ELECTRONICS, BEST BUY, DEUTSCHE TELEKOM, VERIZON 등 알파벳순 이 있습니다. "
000660,"당사는   현대 전자산업주식회사로 사명을 변경한 이후  주식회사 LG 반도체를 합병하는 등 반도체 메모리반도체 사업을 기반으로 성장하였습니다.   SK 그룹으로 편입되었으며, 현재는 미국, 독일, 영국, 일본, 싱가포르, 인도, 홍콩, 대만, 중국 등에 판매법인 및 사무소 설치를 통해 글로벌 영업망을 구축하고 있습니다. 당사 및 당사의 종속기업의 주력 제품은 DRAM 및 NAND를 중심으로 하는 메모리반도체이며, 주력 생산시설이 아닌 일부 FAB M M 일부 을 활용하여 시스템 반도체인 CIS CMOS IMAGE SENSOR 생산과 파운드리 FOUNDRY 사업도 병행하고 있습니다. 반도체는 메모리 반도체와 비메모리 반도체로 구분되고, 메모리 반도체는 정보를 저장하고 기억하는 기능을 하며, 일반적으로 '휘발성 VOLATILE '과 '비휘발성 NON-VOLATILE '으로 분류됩니다. 휘발성 메모리 제품은 전원이 끊어지면 정보가 지워지는 반면, 비휘발성 제품은 전원이 끊겨도 저장된 정보가 계속 남아 있습니다. 당사는 휘발성 메모리인 DRAM과 비휘발성 메모리인 NAND FLASH를 주력 생산하고 있습니다. 당사의 생산시설은 국내와 중국에 소재하고 있습니다. 국내에 소재한 FAB은 DRAM을 생산하는 M M M 이천 과 NAND를 생산하는 M M M 청주 및 M 이천 이 있습니다. 이 중 M   준공을 완료한 최신 FAB이며, DRAM을 주력으로 생산할 예정입니다. M DRAM과 NAND를 혼용하여 생산하며, M DRAM과 CIS를 혼용 생산 중에 있습니다. 중국에 소재한 FAB으로는 DRAM을 생산하는 C C 중국 장쑤성 우시 가 있습니다. 당사의 매출액은  반기 누계    제    제   기록하였습니다.보다 상세한 내용은 동 공시서류의 'II. 사업의 내용'을 참조하시기 바랍니다. "
035420,"네이버는 혁신적인 최고의 서비스를 끊임없이 선보이는 '글로벌 도전의 집합체 A SET OF GLOBAL CHALLENGES '입니다. 첨단의 기술을 일상의 서비스에 담아 사용자에게 새로운 연결의 경험을 선보이는 도전을 멈추지 않음으로써, 다양한 기회와 가능성을 열어 나가고 네이버를 둘러싼 모든 이해관계자들에게 차별화된 가치를 제공하고 있습니다.네이버를 둘러싼 환경은 빠르게 변화 중이며, 이러한 변화를 새로운 도약의 기회로 삼아, 그 동안 회사의 성장을 견인해 왔던 혁신을 바탕으로 글로벌 시장과 신규사업에 대한 도전을 이어가고 있습니다. 또한, 네이버는 지속적인 성장을 목표로 기술, 서비스 등에 대한 선제적 투자를 진행하며, 핵심 사업의 경쟁력을 끊임없이 강화해 나가고 있습니다. 네이버는 국내  인터넷 검색 포털 '네이버 NAVER '를 기반으로 광고, 커머스 사업을 통해 매출을 창출하고 있습니다. 아울러 웹툰, ZEPETO, V LIVE 등의 콘텐츠서비스, 금융 씬파일러들을 위한 핀테크, 기업용 솔루션을 제공하는 클라우드 등 다각화된 사업 포트폴리오를 기반으로 안정적인 성장을 이어가고 있습니다. 네이버는 기존 사업에서 탄탄한 성장세를 유지하는 한편, 신성장동력인 커머스, 핀테크, 콘텐츠, 클라우드 사업 모두에서 고르고 가파른 성장을 이어가고 있습니다.각 사업부문별 매출현황은 Ⅱ. 사업의 내용 -  매출 및 수주상황을 참고해 주시기 바랍니다. "
207940,"당사는 바이오의약품을 위탁생산하는 CMO 사업 및 세포주개발, 공정, 제형, 분석법등 세포주 개발 초기 임상까지 개발서비스를 제공하는 CDO사업을 영위 중입니다.당사는 인천송도 경제자유구역 송도지구 에 상업용 생산설비       와 임상용 생산설비  총  CAPACITY를확보하여 생산설비 기준 세계  바이오 CMO로 부상하였습니다.  LONZA   BOEHRINGER INGELHEIM  또한, CDO사업의 안정적 수주 확대 및 해외거점 확대 운영을 위해  미국에종속기업 SAMSUNG BIOLOGICS AMERICA, INC.를 설립하였습니다. 당사의바이오의약품 연구개발 자회사 삼성 바이오에피스는 바이오시밀러 개발 및 상업화를 진행 중입니다.바이오의약품 시장 규모는 '  전체 제약시장에서  비중을차지하고 있습니다.  연평균  의 성장성을 보이며 제약시장 성장을견인할 것으로 전망되며, 이 같은 빠른 성장과 함께 제약사들의 CMO 활용이확대되는 추세에 있습니다. EVALUATE PHARMA  및 MCKINSEY 기준 바이오 CDMO 시장 규모는  블록버스터 바이오 의약품 지속 개발,  글로벌 제약사 및 중소형 바이오텍의 생산분야 아웃소싱 확대  제약사대상 END-TO-END CDMO SERVICE 제공 니즈 증가  공급안정성 확보를 위한 DUAL SOURCING 수요 확보등의 성장 요인에 기인하여  기준  향후  연평균  성장해  기준  규모로 성장할 것으로 전망됩니다. FROST SULLIVAN,  기준 당사는 바이오의약품 시장의 주류인 동물세포 기반 항체의약품 생산을 전문으로 하는 바이오 CMO 사업을 영위 중이며 이 시장은 당사와 같이 대형 생산설비를보유한 소수의 대형 CMO 기업이 시장을 주도하고 있습니다.  기준 스위스에본사를 둔 LONZA는 전세계에  동물세포 배양설비를 보유하고 있으며,독일 BOEHRINGER INGELHEIM은 독일과 미국 등에  생산설비를보유 중입니다. 한편, 경쟁사는 미국 스위스 독일 등 주요 국가에서 생산 규모를증설해나가고 있습니다. 당사는   규모의  CGMP 생산을시작하여   기준  생산설비를 가동 중이며 향후  규모의  신설해 세계 생산설비  리더십을 지속유지해나갈 전망입니다.당사는 항체의약품 CMO 중심 서비스에서 글로벌 종합 바이오기업으로 도약하기위해 사업 영역을 CDO 서비스까지 확장중이며 코로나 확산 이후 급증하는 시장수요에 맞추어 MRNA 백신 원료 의약품 생산 역량도 갖추고자 합니다. CDO 서비스는 자체 세포주 및 공정개발 역량이 없는 중소 제약사 등을 대상으로세포주 공정 및 제형개발 서비스를 제공하는 위탁개발 서비스입니다. 당사는 업계평균대비 두 배 향상된 세포 생존력과 개선된 증식력을 보여주는 자체 개발 세포주'에스초이스 S-CHOICE ' 개발에 성공하였고   미국 대표 바이오클러스터인 샌프란시스코에 의약품 위탁 개발 R D 센터를 열었습니다. 향후 보스턴·유럽·중국 등에도 순차적으로 진출을 계획하고 있습니다.MRNA 백신은 바이러스가 직접적으로 체내에 주입되지 않기 때문에 기존 백신보다 비교적 안전하며, 백신을 만들때 바이러스 항원 배양 시간이 들지 않기 때문에만들기가 쉽고 시간이 절약된다는 장점이 있습니다. 당사는 인천 송도에 기존 설비에증설하여  상반기 내로 우수 의약품 제조 및 품질관리 기준 CGMP 에 대한준비를 완비하고자 합니다. "
051910,"석유화학사업은 납사 등을 원료로 하여 에틸렌, 프로필렌, 부타디엔, 벤젠 등 기초유분을 생산하는 공업과 이를 원료로 하여 다양한 합성수지를 생산하는 공업을 포괄하는 사업으로 대규모 장치산업의 특징을 지니고 있습니다. 주요 제품으로는 PE, PVC, ABS, SAP, 합성고무 등이 있습니다.첨단소재사업은 IT 가전산업의 기술 변화와 자동차 경량화, 전기차 등 자동차산업의 트렌드에 맞춰 핵심 소재를 개발하고 생산, 판매하는 사업입니다. IT 가전, 자동차 산업의 빠른기술 변화에 맞춰 기술 제품 개발 및 고객 맞춤형 전략을 추진하고 있습니다.생명과학사업은 당뇨신약 '제미글로'를 비롯하여, 인간 성장호르몬제 '유트로핀', 관절염주사제 '시노비안', 류머티스 관절염 치료제 '유셉트', 히알루론산 필러 '이브아르',  '유펜타' 등의 의약품을 생산 및 판매하는 사업입니다.전지사업은 EV ELECTRIC VEHICLE , LEV LIGHT ELECTRIC VEHICLE , ESS 에너지 저장 장치 , IT기기, 전동공구 등에 적용되는 전지 관련 제품의 연구, 개발, 제조, 판매를 하고 있는 사업이며, 당사는    해당 사업부문을 단순·물적분할하여 종속회사인 주 LG 에너지솔루션을 설립하였습니다. EV는 각국의 환경규제와 친환경 정책 확대에 따른 수요 증가로 높은 성장 가능성이 있는 사업이며, ESS도 신재생 에너지 발전 및 발전된 전력의 효율적 활용이 중요해짐에 따라 수요가 확대되고 있습니다. 당사의 종속회사 팜한농은 작물보호제, 비료, 종자 등의 제조 및 판매를 주요 사업으로 하고 있습니다. ' 당사의 매출액은 작물보호사업 , 비료사업 , 종자사업 등 기타  로 구성되어 있습니다. 작물보호사업은 친환경 및 저독성 제품 개발, 비료사업에서는 특수비료 중심으로 사업구조를 전환 중에 있으며 종자 분야에서는 다양한 원예종자 확보 및 신품종 개발을 지속적으로 추진하고 있습니다. 당사는  반기 기준으로 약   매출을 달성하였으며 각 사업부문별 매출액은 석유화학  , 전지  , 첨단소재  , 생명과학  , 공통 및 기타부문  로 구성되어 있습니다.   석유화학 사업부문은 글로벌 경기 회복에 따른 전방산업의 수요 개선과 신재생에너지, 위생소재를 포함한 친환경 제품 등 차별화된 제품 포트폴리오 보유에 힘입어, 주요제품인 ABS, PVC, NBL 등 매출이 확대되며 역대 최고 실적을 달성하였습니다. 상반기에 과열되었던 수요는  진정되면서 스프레드의 하향 안정화가 예상되나, 여수 제 NCC, CNT 및 중국 NBL 등 신규 증설 라인 본격 가동에 따른 매출 확대 및 DOWNSTREAM 중심의 차별화된 제품 포트폴리오를 바탕으로 견조한 수익성을 지속 유지할 수 있을 것으로 예상됩니다. 전지 사업부문은  반도체 수급 이슈로 인한 고객사의 생산량 감소와 ESS 충당금 설정이 있었지만 전기차용 원통형전지의 매출 증가 및 소송 합의에 따른 라이선스비 인식으로 전분기 대비 매출 및 수익성이 개선되었습니다. 향후 반도체 수급 이슈 개선에 따른 고객사의 생산 정상화에 대한 기대와 하반기 프리미엄 IT 제품 출시 본격화가 예상됩니다. 첨단소재 사업부문은  양극재 출하량 확대 및 엔지니어링 소재 판가 상승을 통해 전년대비 매출 성장하였으며, 꾸준한 생산성 향상 활동 등으로 수익성 또한 개선되었습니다. 향후 단기적으로는 전방산업 수급 우려 있으나, 기존 양극재 사업뿐만 아니라 금번 인수 결정한 SRS 분리막 사업 작성기준일 이후인  당사 이사회 승인 및 '특수관계인으로부터 영업양수' 공시 까지 함께하여 전지소재 사업 확대되며 지속적인 매출 성장 및 견조한 수익성을 확보해 나갈 것으로 예상됩니다. 생명과학 사업부문은  당뇨 치료제 '제미글로’및 성장호르몬제 '유트로핀' 등 주요 제품의 시장지위 강화됨과 동시에, 신제품 소아마비 백신 ‘유폴리오’공급 개시하며 매출 성장 및 수익성 개선되었습니다. 향후 주요 제품 시장점유율 유지하고 에스테틱 분야 등의 수요 회복이 예상되며, 글로벌 신약 개발 강화 위한 R D 투자 역시 확대될 것으로 전망됩니다. 주 팜한농 사업의  원료가 상승에도 불구, 작물보호제 판매 확대 등으로 전년 대비 매출 및 수익성이 개선되고 있으며, 특히 테라도의 미국, 호주 출시 등 해외사업 기반이 강화되고 있습니다. 향후 작물보호제 및 종자 판매 확대 등으로 수익구조 개선될 것으로 전망됩니다. "
006400,"당사는 소형전지, 자동차전지, ESS 등의 리튬이온  전지를 생산 판매하는 에너지솔루션 사업부문과 반도체 및 디스플레이 소재 등을 생산 판매하는 전자재료 사업부문을 영위하고 있습니다. [에너지솔루션 사업부문]소형전지는 원형, 각형, 폴리머전지 등의 제품을 개발 및 판매하고 있으며, 휴대폰, 태블릿 PC 등의 IT 기기의 확산뿐만 아니라 전동공구, E-BIKE 등 뉴 어플리케이션 분야에서의 고효율, 친환경 에너지원의 요구가 높아짐에 따라 사업영역을 지속 확대하고 있습니다.자동차전지는 고효율, 고용량 리튬이온  개발하고 이를 전세계 자동차완성업체에 공급함으로써 기존의 내연기관 차량에서 배출되는 이산화탄소 및 각종 대기오염 물질을 최소화하여 경제성은 물론 친환경성을 구현하는 등 제품을 통한 지속가능성을 실현하고 있습니다.ESS는 소형전지 사업부터 이어온  안전성을 기반으로 ESS 시장에서 높은시장점유율을 기록하고 있으며, 전기차에 공급되는 배터리 기술력과 제조공법을ESS용으로 사용함으로써 품질 신뢰성을 확보하고 있습니다.[전자재료사업부문]디스플레이 및 차세대 에너지 분야에서 활용되는 소재를 개발 및 판매하고 있으며,반도체, LCD 등 기존 시장에서의 시장 지배력을 강화하는 동시에 QD, OLED, EUV등 차세대 첨단 소재 시장에서의 선도적 리더십을 확보하기 위해 노력하고 있습니다.상세내용은  기타 참고사항의 다. 사업부문별 현황을 참고하시기 바랍니다. "
000270,"당사와 연결 종속회사는 보고서 작성 기준일 현재 완성차 및 부분품의 제조 판매, 렌트 및 정비용역을 사업으로 영위하고 있습니다. 렌트 및 정비부문은 연결실체 전체 매출에서 차지하는 비중이 중요하지 않음에 따라 연결실체는 하나의 보고 부문으로 구성됩니다. 주요 제품은 완성차로 승용, RV, 상용 등으로 구분하고 있습니다. 승용 주요 차종은 모닝, 레이, K K K 스팅어, K 등이고, RV 주요 차종은 니로, 셀토스, 스포티지, 쏘렌토, 모하비, 카니발 등이며, 상용 주요 차종은 트럭, 버스 등입니다. 주요 원재료는 엔진, 미션, 모듈 등의 부품과 철판, 페인트 등의 원자재 및 기타로 구성되어 있고 협력회사 또는 계열회사 등을 통해 공급받고 있습니다.  상반기 기준 생산능력은  생산실적은  가동률은  였습니다. 국내 생산공장은 광명, 화성, 광주, 서산 위탁생산 에 위치해 있고, 해외 생산공장은 미국, 슬로바키아, 멕시코, 인도, 중국 연결 제외 에 위치하고 있습니다.  상반기 총매출액은 주요 시장의 자동차 수요가 큰 폭으로 회복된 가운데, 신차 K 카니발, 쏘렌토 등 핵심 차종 중심의 판매 확대로 전년동기대비  증가한  기록하였습니다. 영업이익은 판매 대수 증가와 RV 비중 확대로 인한 믹스 개선 및 주요 권역에서의 인센티브 축소로 전년동기대비  증가한  기록하였습니다. 연결재무제표 기준 "
068270,"가. 주요 영위 사업 당사가 영위하고 있는 사업은 크게  바이오시밀러,  항체 신약 개발,  단백질 의약품 위탁생산사업,  화학합성의약품사업 총  구분할 수 있습니다.[바이오시밀러] 당사 주요 제품으로는 당사 최초로 글로벌 시장 상업화에 성공하여 글로벌 수준의 의약품 규제기관으로부터 제품 허가를 득한 세계 최초의 항체 바이오시밀러인 자가면역질환 치료제 RAM시마 CT-P , 각국에서 순차적으로 허가 및 출시 중인 RAM시마의 SC제형 피하주사 RAM시마SC CT-P SC , 미국 및 유럽 각국에서 판매를 시작하여 빠른 점유율 성장세를 보이고 있는 혈액암 치료제 트룩시마 CT-P 와 유방암 치료제 허쥬마 CT-P , 그리고 최근 유럽에서 판매허가를 받은 휴미라의 유일한 고농도 바이오시밀러 유플라이마 CT-P 가 있습니다. 이외에도 당사는 장기적인 계획 아래 CT-P 아바스틴 바이오시밀러 , CT-P 아일리아 바이오시밀러 등 다수 블록버스터 항체 의약품의 바이오시밀러 개발을 진행하고 있으며, 이러한 항체 신약 개발 활동을 바탕으로 향후에도 지속적으로 세계 항체 바이오시밀러 시장을 선도해 나갈 계획입니다. [항체 신약 개발] 당사는 각종 유행성, 계절성 인플루엔자에 모두 효과를 보이는 종합 인플루엔자 항체치료제인 CT-P 개발 중이며, 임상  완료한 상태입니다. 후속 임상을 포함한 개발 계획에 대해 정부 개발 지원 프로그RAM 등 다양한 개발 모델을 고려 중이며, 동시에 효율적 임상 디자인을 위해 규제기관과 논의를 지속적으로 진행하고 있습니다. 또한, 당사는  초 글로벌 팬데믹 상황을 야기한 코로나 대응하기 위해 코로나 항체치료제 CT-P 렉키로나주 를 개발해 대한민국 식품의약품안전처에  임상시험을 전제로 하는 조건부 품목허가를 승인 받은 바 있으며, 국내 및 해외에서 진행된  임상시험에서는 위약군과 대비해 그 통계적 유의성 및 안정성을 증명한 바 있습니다. 바이오시밀러 및 항체 신약 개발 관련 세부내용은 II. 사업의 내용 -  기타 참고사항 - 마. 사업의 개요 주요 제품 및 서비스 추가내용 을 참고하시기 바랍니다.[단백질의약품 위탁생산사업] 단백질 의약품 위탁생산사업은 셀트리온의 첨단 설비와 생산 품질관리 기술을 바탕으로 고객사가 개발한 세포주를 대량 배양하여, 생산된 목표 의약품 단백질을 정제 추출하여 공급해 주는 사업을 의미합니다. 당사는 이러한 기술력을 바탕으로 글로벌 제약회사 TEVA의 프레마네주맙 원료의약품을 공급하는 의약품위탁생산 CMO 계약을 맺었으며, 안정적으로 원료의약품을 공급하고 있습니다. [화학합성의약품사업] 당사는   글로벌 화학합성의약품 프로젝트의 첫 제품인 에이즈 치료제 '테믹시스 TEMIXYS '의 미국 FDA 허가 획득을 시작으로   제네릭 항생제 '리네졸리드 LINEZOLID '를 동 기관로부터 승인 받았습니다. 이밖에도 HIV 치료를 위한  복합제 개량신약 'CT-G FDA로부터   잠정 승인을 받고, 자회사 셀트리온제약의 청주공장에서 CT-G 상업 생산을 위한 전용 라인 구축 및 공급물량 생산 확대를 통해 글로벌 조달시장 진출에 힘쓰고 있습니다. 이와 함께 글로벌 케미컬 프로젝트의 일환으로 비후성심근증 신약 CT-G 치매 치료제 도네페질 DONEPEZIL 패치제 등 다양한 케미컬의약품의 임상 및 개발을 완료해 향후 글로벌 시장에서 당사 화학합성의약품 경쟁력을 높여나갈 계획입니다. 또한,    부로 다케다 PRIMARY CARE APAC 영업양수 제품군에 대한 권리 자산 인수 절차를 마무리 지어 전문의약품 브랜드  일반의약품  APAC  내 판매영업권 및 특허 등 전체 권리를 인수하여 판매하고 있으며 셀트리온의 복합제 기술을 기반으로 당뇨, 고혈압 제제의 새로운 복합제 개발을 진행하고 있습니다.나. 생산설비 및 원재료 현황당사는  설립 이후 지속적인 투자와 고급 인력의 확보를 통해 항체의약품을 개발, 생산할 수 있는 자체 생산설비 확보 및 운영 노하우, 품질관리 시스템 등의 인프라를 구축해 왔습니다. 당사는 미국 FDA 와 유럽 EMA 등 선진국 허가기관으로부터 인증 받은 설비를 확보했으며, 미국과 유럽 등지에서 세계 최초 항체 바이오시밀러 RAM시마를 비롯한 트룩시마, 허쥬마 및 세계 최초 인플릭시맙 피하주사 제제 RAM시마SC의 제품 허가를 획득하는 등 세계적인 경쟁력을 보유한 종합 생명공학회사로 자리매김했습니다. 당사는      의 동물세포배양 단백질의약품 생산설비를 보유하고 있으며, 향후 제품 개발, 상업화 일정 및 시장 수요를 고려하여 다각도의 생산능력 확대를 검토하고 있습니다. 국내  신설을  통한 추가 설비증설을 진행 중에 있으며, 유연한 생산능력 확보를 위해 외부 CMO CONTRACT MANUFACTURING, 위탁생산 활용 또한 적극 검토하고 있습니다. 당사는 보고일 현재 해외 소재의 CMO 업체를 활용하여 총  규모의 위탁생산 CAPACITY를 확보하였으며, CMO를 포함하여 총  생산 설비를 갖추게 되었습니다.당사 의약품 제조에 사용되는 원재료 등은 사업의 특성상 매입처에서 주문생산 방식으로 조달하고 있으며, 계약 당사자 간의 상호 협의를 통해 가격을 조정하고 있습니다.다. 매출 및 수주상황 코로나 팬데믹 상황에서도 유플라이마 신규 공급 등에 따른 영향과 RAM시마, RAM시마SC, 트룩시마 등 기존 제품의 견고한 매출 및 주요 종속회사 실적 개선에 따라  상반기 당사 연결기준 매출액은  기록, 전년대비  증가하였으며, 영업이익은  전년대비  성장하였습니다.당사는 개발 중인 바이오시밀러 제품들에 대해 세계 시장 출시 및 판매를 위해 계열회사인 셀트리온헬스케어를 통해 전세계 시장을 미국, 유럽 등 선진국 시장과 아시아, 중남미 등 기타 권역으로 나누어 직접 간접 판매 네트워크 구축을 완료하여 시장 선점을 위한 기반을 확보하고 있습니다. 당사와 주 셀트리온헬스케어 간에 체결한 판매권부여기본계약과 제품공급계약 등에 근거한 셀트리온헬스케어에 대한 바이오의약품의 판매 및 용역매출이 연결기준으로  전반기  발생하였고, 보고기간 종료일 현재 관련 매출채권 장부금액은 연결기준으로  전기말  입니다. "
005490,"회사는 사업의 성격에 따라  부문 철강, 무역, 건설, 기타 이 있으며, 연결대상 회사는 총  입니다. 철강부문의 연결대상 회사는 포스코, 포스코강판 주 등 국내  비롯하여 중국 POSCO ZHANGJIAGANG STAINLESS CO., LTD., 해외 가공센터 등 해외  포함하여 총  포스코는 열연, 냉연, 스테인리스등 철강재를 포항제철소와 광양제철소에서 생산하고 있습니다. 포스코강판은 표면처리강판 제조전문기업이며, 스테인리스 강판 제조 판매사인 중국 POSCO ZHANGJIAGANG STAINLESS STEEL과 철강재 가공 판매하는 해외 가공센터 등이 있습니다.무역부문은 주 포스코인터내셔널을 포함하여 국내  해외  총  연결대상 종속회사가 있습니다. 건설부문은 주 포스코건설, 주 포스코에이앤씨건축사사무소를 포함하여 국내  해외  총  연결대상 종속회사가 있습니다. 기타부문에는 발전시설을 운영하는 포스코에너지 주 , IT관련 서비스엔지니어링을 담당하는 주 포스코아이씨티, 내화물, 생석회 제조 및  소재사업을 영위하는 주 포스코케미칼과 철강제품 포장 및 철강부원료 사업을 담당하는 주 포스코엠텍을 포함하여 국내  해외  총  회사가 있습니다. ' 상반기 기준, 철강부문은 전체 연결매출의  에 해당하며, 무역부문은  , 건설부문은  , 기타부문은  에 해당합니다. 철강부문 매출액 단순합계 기준 냉연제품이  , 스테인레스제품이  , 열연제품이  를 차지하고 있습니다. 무역부문에서는 철강 금속 품목이 부문매출의  로 가장 높고, 건설부문은국내도급 건축공사가 부문매출의  로 가장 많은 부분을 차지하고 있습니다.세계 조강생산량은 중국의 지속적인 경기부양 정책 실시로 ' 이후 매년 증가해왔으나 COVID- 발발로 인하여 ' 일부 감소하였습니다. 그러나 각국의 회복 노력으로 '  누계 기준 글로벌 조강생산량은 전년동기비  증가한  우리나라 역시 전년동기비  증가한  기록하였습니다. 무역부문의 경우 세계 경제의 COVID- 이동제한 완화와 함께 세계 각국의 경기 부양책으로 경기 회복 국면에 위치할 것으로 보이나 여전히 미-중 패권경쟁이 지속되는 가운데 자국 중심의 보호무역주의 강화 및 글로벌 경쟁 심화, COVID- 재확산 위험 등 불안요인이 상존하고 있습니다. 건설부문의 경우, 건설업의 최대 발주자인 정부의 ' SOC예산은 GTX, 그린뉴딜 등의 SOC 투자수요에 힘입어 역대 최대인  편성되었습니다 전년대비  증가 . 국내 주택시장은 시장유동성 및 저금리 기조 유지와 신규주택 수요에 힘입어 호조세가 이어져 왔으나, 정부의 부동산 안정화 정책과 더불어 ' 하반기 기준금리 인상에 대한 전망이 유력하여 보합세로 전환될 것으로 예상하고 있습니다. 그러나 정부가 추진하고 있는 공급정책인  신도시 개발, 재개발 재건축 규제완화 등은 건설업계에게 기회요인입니다. "
012330,"  매출은   원, 영업이익은  원을 달성하였습니다.코로나 판데믹 기저 효과로 매출과 영업이익은 각각 전년 동기 대비  ,  증가하였습니다. 현대 자동차 기아의 분기 합산 생산량이  동기 대비  증가하였고, 전기차를 포함한 친환경 차량 생산량은  증가 하였으나, 코로나영향에 따른 운송비 증가와 비우호적 환율 영향 등이 영업이익에 영향을 미치면서 모듈 및 핵심부품의 영업이익률은  를 기록하였습니다. 서비스부품 사업은  선진국을 중심으로 차량 정비 수요가 살아나며 미주, 유럽 등 주요 시장에서 매출이 모두 증가하는 모습을 보였습니다. 이에 매출 및 영업이익은 전년 동기 대비 각각  ,  증가하였으나, 역시 운송비 증가와 환율 영향으로 수익성 개선은 제한적이었습니다. 코로나 여파는 계속되고 있지만 당사는 미래 성장 및 외부 수주 역량 강화를 위한 투자를 지속 실시하고 있습니다. 상반기 누계 기준 연구개발 투자는  원 연간 목표 대비  , 시설투자는  원 연간 목표 대비  을 집행하였습니다. 또한 고객 다변화를 위한 노력과 함께 현대 자동차 및 기아 이외 완성차 고객으로부터의  상반기 누계 수주 실적은  달러를 기록하였으며, 이는 연간 수주 목표 대비 약  수준입니다.올해도 글로벌 물류 불안 등 코로나 판데믹 영향은 계속될 것이나 당사는 '책임 있는 혁신, 청정 기술을 활용한 모빌리티 구현’이라는 ESG경영을 통해 위기 극복과 동시에 미래를 위한 준비를 지속할 것입니다. 이를 통하여 포스트 코로나 시대 뉴노멀을 선도할 기업으로 성장해 나가겠습니다. "
