하이닉스반도체*	하이닉스/NNP + 반도체/NNG
스마트폰*	스마트폰/NNP
낸드플래시*	낸드플래시/NNP
판매비중*	판매/NNG + 비중/NNG
웹툰*	웹툰/NNG
판매업*	판매업/NNG
이피에스*	이피에스/NNP
케어*	케어/NNP
임대업*	임대업/NNG
실리콘웍스*	실리콘웍스/NNP
이차전지*	이차/NNG + 전지/NNG
이차전지소*	이차/NNG + 전지소/NNG
강관*	강관/NNG
맥스핌*	맥스핌/NNP
뮤코미스트*	뮤코미스트/NNP
고속인터넷*	고속/NNG + 인터넷/NNG
초고속인터넷부문*	초/XPN + 고속/NNG + 인터넷/NNG + 부문/NNG
인터넷포털*	인터넷/NNG + 포털/NNG
포털*	포털/NNG
콘솔게임*	콘솔/NNG + 게임/NNG
클라우드*	클라우드/NNG
식자재유통*	식자재/NNG + 유통/NNG
네이버*	네이버/NNP
반도체시장*	반도체/NNG + 시장/NNG
바이오시밀러*	바이오/NNG + 시밀러/NNG
바이오에피스*	바이오/NNG + 에피스/NNG
단백질의약품*	단백질/NNG + 의약품/NNG
한미약품*	한미/NNG + 약품/NNG
일본한미약품	일본/NNG + 한미/NNG + 약품/NNG
온라인팜*	온라인/NNG + 팜/NNG
바이오팜*	바이오/NNG + 팜/NNG
한국타이어*	한국/NNG + 타이어/NNG
역류성식도염*	역류성/NNG + 식도염/NNG
시스템반도체*	시스템/NNG + 반도체/NNG
바이오의약품*	바이오/NNG + 의약품/NNG
키움*	키움/NNP
케미칼*	케미칼/NNP
뉴이스트*	뉴이스트/NNP
캐피탈*	캐피탈/NNG
홀딩스*	홀딩스/NNG
폴리에스터*	폴리에스터/NNG
리조트*	리조트/NNG
타이어보강재*	타이어/NNG + 보강재/NNG
